,assists,GameID,GameMode,baronKills,bountyLevel,champExperience,champLevel,championName,damageDealtToObjectives,damageSelfMitigated,deaths,dragonKills,firstBloodAssist,firstBloodKill,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,kills,lane,largestCriticalStrike,largestKillingSpree,longestTimeSpentLiving,magicDamageDealtToChampions,magicDamageTaken,nexusLost,objectivesStolen,physicalDamageDealtToChampions,physicalDamageTaken,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,teamEarlySurrendered,teamId,timeCCingOthers,timePlayed,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,7,4035079668,CLASSIC,0,0,10933,13,Irelia,1031,16366,10,0,False,False,False,9167,8575,MIDDLE,0,4,1055,3153,3111,6673,1042,1042,3364,5,MIDDLE,360,3,338,4586,8895,1,0,7778,15117,131,26,48,5,4,4,4,14,TCmNPhjF8gZMmBxV-6bStYlzrI8v-cqjqwdr8YhvvAVT723fR9XcnHnFWQ,False,200,17,1425,12916,0,25569,2408,0,131,86,247,552,1557,0,11,15,1,1,2,False
0,4,4035079668,CLASSIC,0,0,8257,11,KogMaw,1982,8348,6,0,False,False,False,8227,6975,BOTTOM,0,4,1055,3086,6672,3006,1042,1042,3340,9,BOTTOM,297,5,573,8677,9061,1,0,7582,11805,47,48,24,35,5,4,5,7,zQqlbr6X1u5mpW7UDz5yL_09y8dpLHVsfVB6qLGjViWpHhD7hxEo9XmFrQ,False,200,6,1425,18547,0,21646,4299,360,65,144,158,2288,779,0,11,13,1,1,7,False
0,16,4035079668,CLASSIC,0,0,9555,12,Sona,2703,9916,6,0,False,False,False,6221,5500,UTILITY,0,4,3853,3070,6617,3158,3114,2055,3364,0,BOTTOM,0,0,465,8256,7033,1,0,1184,8652,87,85,100,8,5,4,5,14,NulS4zQbFLLnak8UHzl9r_Vw4mJBKo2xjdmUlgdoegnMCP4,False,200,10,1425,10329,3919,15877,16675,11905,27,21,124,888,192,0,11,45,4,2,26,False
0,2,4035079686,CLASSIC,0,0,7191,10,Kennen,1543,3825,1,0,False,False,True,4896,4150,TOP,0,0,2422,1083,3152,2055,1029,0,3340,0,NONE,0,0,938,4361,465,0,0,1218,5384,67,25,34,4,2,12,2,4,hYBFQd4P3kldjSaSHcdHc3FBievvOn4dWgUBDhPo9yaytkk,False,100,17,1005,5580,0,6002,1292,0,94,61,32,0,152,0,1,2,2,0,2,True
0,2,4035079686,CLASSIC,0,1,6512,10,Teemo,7589,4027,2,2,False,False,True,5203,3410,JUNGLE,0,0,3802,3006,1052,0,0,0,3340,2,NONE,0,0,627,2921,2244,0,0,356,7800,56,14,0,11,3,4,10,11,eUlQ5VCnAm1HX4r0lkMrutpuJU21_Pj7mkUWg9MdcW43n6A,False,100,14,1005,3562,0,10171,4015,0,13,263,48,284,126,0,1,11,1,3,5,True
0,1,4035079686,CLASSIC,0,4,8598,12,Tryndamere,10144,6002,1,0,False,True,True,8262,5000,MIDDLE,0,0,6672,3006,1036,0,0,0,3340,7,NONE,478,4,661,0,4772,0,0,8162,7066,23,12,37,3,4,6,4,14,QN1qArOkUb9nA07rwqTSSD4bLGGdULznOKmmYVZxFv5SuY1l,False,100,4,1005,9640,0,12874,5960,0,93,29,27,1477,1035,2,1,10,0,2,5,True
0,0,4035079686,CLASSIC,0,3,6815,10,Sivir,7109,2949,1,0,False,False,True,8552,7600,BOTTOM,0,0,6671,1055,3006,3004,0,0,3340,10,NONE,336,7,776,684,1111,0,0,11711,6300,49,32,9,3,3,7,2,4,LKQR1zDkCFkJedn2nen2DP1s95SwhTLvA6u9DMVmtEduZIE,False,100,1,1005,12540,0,8506,1573,414,129,26,27,144,1094,2,1,10,0,2,4,True
0,8,4035079686,CLASSIC,0,0,5805,9,Nami,2216,2440,2,0,False,False,True,5318,4425,UTILITY,0,0,3853,3070,6617,3158,0,0,3340,0,NONE,0,0,484,3528,2047,0,0,958,4486,21,42,28,3,2,12,2,4,D8G40tIjX0VplBrwGci86EV_1bnKWi0l-owhyJZr-Ofanqg,False,100,9,1005,4486,0,7026,5575,3090,7,62,31,0,492,2,1,23,1,2,10,True
0,0,4035079686,CLASSIC,0,0,9073,12,Gnar,2904,6742,1,0,False,False,True,5624,4050,TOP,0,0,1055,3057,3111,3044,1028,0,3340,1,NONE,0,0,982,543,4052,0,0,5310,4634,63,14,13,2,1,12,2,4,om74ZVbm6tW6RvqE1ZJuPjsF4RbwA8w_jEAf-W47shIUR7Y,False,200,11,1005,5854,0,9154,1333,0,127,242,0,0,467,1,3,4,0,0,3,False
0,1,4035079686,CLASSIC,0,0,6128,10,MasterYi,1668,7294,4,0,False,False,True,6441,5500,JUNGLE,0,0,6691,1006,3006,1036,1036,0,3340,3,NONE,0,2,341,0,2115,0,0,5314,11062,45,8,26,4,3,4,10,11,J3Yh6sXaWqPp4u0ntDanWXXEU5CyX_gTvwg81B2fq-2r4RA,False,200,5,1005,7205,0,13780,5134,0,8,145,76,1890,603,0,3,10,0,0,5,False
0,0,4035079686,CLASSIC,0,0,5812,9,Syndra,453,3411,5,0,False,False,True,4661,3850,MIDDLE,0,0,3802,1082,2033,1026,1001,3070,3340,1,NONE,0,0,395,6733,914,0,0,1424,6730,66,58,23,3,3,14,3,4,s-hZAmwJiMeIv8Z-iFH_wLfGChifDmwcIhojb2RitgENSAn5,False,200,11,1005,8678,0,8148,417,0,86,134,129,520,503,0,3,5,2,0,4,False
0,2,4035079686,CLASSIC,0,0,5676,9,Aphelios,0,3612,4,0,False,False,True,5314,5150,BOTTOM,0,0,1055,3006,6671,0,0,0,3363,2,NONE,307,2,359,311,2268,0,0,4581,5027,35,72,0,4,2,7,2,4,Mw1lBhc9agwafd0tA5TiXa-JYOtIpRqS87-B8DldGhuqqNiG,False,200,6,1005,4892,0,7366,1975,299,107,45,88,0,70,0,3,8,2,1,6,False
0,2,4035079686,CLASSIC,0,0,3929,7,Bard,0,5509,5,0,False,False,True,3521,3250,UTILITY,0,0,3117,3851,3067,2003,1029,1033,3340,0,NONE,0,0,355,2435,2900,0,0,972,5781,23,22,10,3,2,4,3,14,uVtWAVT8_7BZQfzOL6YFWGdt8v2onpyJjbQCCIyFwRzU_To,False,200,10,1005,3898,399,8944,1405,308,1,49,84,490,262,0,3,17,2,0,14,False
